,objectid,extendedness,ra,dec,mag_i,mag_g,mag_r
134,21326423885087355,0.0,54.0104256394024,-28.6554252616042,24.378,25.2148,25.0426
135,21326423885087375,1.0,54.0056565087281,-28.6544039019705,24.6149,25.1394,25.1038
136,21326423885087428,1.0,54.0910292676265,-28.651525353533,23.6647,24.2594,23.8668
137,21326423885087459,0.0,54.1116570083338,-28.6500861089459,21.894,24.4838,23.2954
138,21326423885087528,1.0,54.0899258667749,-28.6474920564721,23.9542,24.6213,24.0602
139,21326423885087552,0.0,54.0954509021207,-28.6466216166348,22.5947,23.4943,22.79
140,21326423885087565,0.0,53.9955503810769,-28.6458649333274,21.9779,22.3008,22.0574
141,21326423885087576,0.0,54.0609626072914,-28.6453431712201,23.3292,25.3676,24.145
142,21326423885087582,1.0,53.9687761920531,-28.6453036064268,24.6455,25.4044,24.9197
143,21326423885087620,1.0,54.0743441125436,-28.6434663327767,23.671,24.3682,24.2889
144,21326423885087640,0.0,54.1502729513204,-28.6423535985681,24.2972,23.9214,24.2305
145,21326423885087651,1.0,53.9990215248616,-28.6420395623826,23.6018,24.8986,23.9415
146,21326423885087663,1.0,54.0563013021984,-28.6411988402139,23.9198,24.9014,24.4799
147,21326423885087664,1.0,53.9942822617771,-28.6413150572888,23.0792,23.4437,23.1116
148,21326423885087672,0.0,54.0759932633991,-28.6407290278189,21.9354,22.6206,22.1282
149,21326423885087746,1.0,54.0339328571754,-28.6378162379267,24.2882,25.3574,24.5735
150,21326423885087763,1.0,54.0860147774711,-28.6366912006611,23.7675,24.5983,24.0145
151,21326423885087777,1.0,53.9974585174361,-28.6362856956811,22.8678,23.9824,23.3817
152,21326423885087791,0.0,54.0360689600793,-28.6358109601347,21.0192,21.8564,21.2523
153,21326423885087803,1.0,54.0415189168308,-28.635207653477,24.4467,25.0679,24.6099
154,21326423885087850,1.0,53.9969956916283,-28.6331851179382,21.8391,22.8751,22.099
155,21326423885087870,1.0,54.0352255022409,-28.6325150689169,23.73,24.5246,24.361
156,21326423885087875,1.0,54.1039783841841,-28.6321219425156,23.1255,23.6522,23.6751
157,21326423885087877,1.0,54.137896556655,-28.6320675477836,23.9045,25.0672,24.6196
158,21326423885087889,0.0,54.0973032397414,-28.6318598590663,24.722,25.0412,25.0346
159,21326423885087891,1.0,53.985730625442,-28.6318499691376,24.2962,25.1848,24.7822
160,21326423885087903,0.0,54.0377410722972,-28.631170038776,24.8414,24.7668,24.9749
161,21326423885087912,0.0,54.0291882859906,-28.6307126335566,23.1614,24.7823,23.6941
162,21326423885087915,1.0,54.0067164752648,-28.6307818623267,24.0585,24.7264,24.5676
163,21326423885087940,1.0,53.9609755997707,-28.6299956239811,24.3225,25.1504,25.0179
164,21326423885087945,1.0,53.9764739194773,-28.6296816247782,24.4505,25.3701,25.0321
165,21326423885087957,1.0,54.0388448038307,-28.6291006051083,23.4707,24.1422,23.6943
166,21326423885087963,1.0,53.994404021164,-28.6288410016146,24.2234,25.0022,24.8599
167,21326423885087977,1.0,54.019881144965,-28.627716060561,22.0082,22.5625,22.0846
168,21326423885088009,0.0,53.9639891896207,-28.6267419455205,24.3988,25.2482,25.0496
169,21326423885088022,1.0,54.0211308373129,-28.6261461080352,23.6946,25.1014,24.0622
170,21326423885088067,0.0,53.9914434645521,-28.6238666282097,22.3854,23.1348,22.4493
171,21326423885088070,1.0,54.058542549254,-28.6237281798364,24.7911,24.5354,24.6684
172,21326423885088078,1.0,54.1982493796604,-28.6231570822263,23.2417,24.2633,23.655
173,21326423885088081,1.0,54.0521266631777,-28.6233993656815,24.1602,25.0753,24.3613
174,21326423885088092,1.0,53.9793644766317,-28.623134831733,22.8434,24.2137,23.7389
175,21326423885088107,0.0,54.022646911261,-28.6221755927252,23.4833,24.2673,23.7141
176,21326423885088142,1.0,53.9874683408416,-28.6208109172813,24.4239,24.809,24.5354
177,21326423885088150,1.0,54.0519317073706,-28.6198887825034,23.7731,24.6622,24.0074
178,21326423885088174,1.0,54.1099312543221,-28.6191149866466,24.6871,25.2565,24.841
179,21326423885088195,0.0,54.0792041299157,-28.6185142481082,24.2963,23.9118,24.2714
180,21326423885088204,0.0,54.0461703289595,-28.6181409514063,24.4287,24.5818,24.7016
181,21326423885088207,1.0,53.9921260409216,-28.6182274770137,24.7252,25.2387,25.1905
182,21326423885088220,1.0,54.0623430061949,-28.6174438048274,23.9984,25.0086,24.3586
183,21326423885088237,0.0,54.1107159839944,-28.6164030378733,23.5361,24.0005,24.0242
184,21326423885088238,1.0,54.1073101216881,-28.6164302311779,23.0783,24.0952,23.7874
185,21326423885088242,1.0,54.0532857921808,-28.6163041531885,23.8918,24.5278,24.0849
186,21326423885088254,1.0,53.9678210587158,-28.6161212167672,23.8157,25.1581,24.4919
187,21326423885088271,0.0,54.0650664564716,-28.6151917069011,22.7253,24.448,23.2686
188,21326423885088274,1.0,54.1489948622672,-28.6147467316855,21.9505,22.4152,22.419
189,21326423885088296,1.0,54.0497147513725,-28.6144031132258,23.6746,24.3219,23.796
190,21326423885088297,1.0,54.0120822910869,-28.6145316610072,22.3193,23.0365,22.4999
191,21326423885088360,1.0,54.1265048674695,-28.6119829833986,23.5337,24.8664,24.3225
192,21326423885088365,0.0,54.0337485342354,-28.6119236550735,24.3607,25.1805,24.9626
193,21326423885088377,1.0,54.1975577801398,-28.6107840633325,21.7361,22.4272,22.2778
194,21326423885088388,1.0,54.1245043449893,-28.610957102497,23.4528,24.14,24.1003
195,21326423885088401,0.0,54.0774016686752,-28.6103465227167,23.2995,24.0981,23.9625
196,21326423885088403,0.0,54.0601272274055,-28.6104676495974,24.5494,24.613,24.7248
197,21326423885088408,1.0,54.0991410027293,-28.6101042693743,23.9618,24.997,24.6473
198,21326423885088455,1.0,54.0257969770827,-28.6087249191531,23.2424,25.1905,24.1227
199,21326423885088473,1.0,53.9718873002438,-28.6079339021082,23.2557,24.6732,23.5277
200,21326423885088518,1.0,54.1761227324375,-28.6060898667488,24.4559,24.6918,24.8095
201,21326423885088522,1.0,54.046932451107,-28.6060873948733,23.4159,24.4692,24.1247
202,21326423885088527,0.0,54.0245241355472,-28.6059267230878,24.4863,24.7983,24.8706
203,21326423885088535,0.0,54.0081296377214,-28.6055559429823,23.5775,24.244,24.2343
204,21326423885088537,1.0,54.0957766552022,-28.6053680815616,23.4157,24.6061,23.706
205,21326423885088556,1.0,54.0179261693114,-28.604960225686,23.1054,24.1016,23.2696
206,21326423885088596,1.0,54.1035115807857,-28.6031088271016,23.4368,25.0368,24.299
207,21326423885088616,1.0,54.0896605788007,-28.6024636878627,23.6979,24.581,24.3355
208,21326423885088622,0.0,53.9995565308471,-28.6022535859005,24.8293,24.7666,24.8844
209,21326423885088626,1.0,54.1090751573628,-28.6017592299994,23.059,24.5124,23.9424
210,21326423885088629,0.0,54.0144452878505,-28.6018927058635,21.0525,21.4789,21.1672
211,21326423885088630,1.0,53.9978449788558,-28.6021448274027,24.1854,24.96,24.844
212,21326423885088665,1.0,53.9681894080439,-28.6004368393955,24.0164,25.1804,24.3736
213,21326423885088693,1.0,54.0240403730238,-28.5992726550861,23.0767,24.4869,23.916
214,21326423885088700,0.0,53.9659767868311,-28.5992331076503,24.1717,25.1041,24.696
215,21326423885088714,1.0,54.0803236240598,-28.5981727475763,23.1647,23.5206,23.2836
216,21326423885088716,1.0,54.00521650685,-28.5982048795426,21.6338,22.2867,22.2387
217,21326423885088744,1.0,53.989731562237,-28.5969294951944,24.4411,25.301,24.5569
218,21326423885088749,1.0,53.9968949030291,-28.5966526696281,24.1621,24.9515,24.7878
